District,Village,HH_ID,Burnt,Latitude_Baseline_measurement,Longitude_Baseline_measurement,Latitude_Endline_measurement,Longitude_Endline_measurement,Latitude_CCE_measurement,Longitude_CCE_measurement,Latitude_Photo_Median,Longitude_Photo_Median,Lat_mean,Lon_mean
Fategharh,Baraunga Buland,105801,Y,30.63286167,76.27438,30.62891,76.27024,30.374419,76.164135,30.6144,76.1209,30.56264767,76.20741375
Fategharh,Baraunga Buland,105803,N,30.63003833,76.26807333,,,30.37406,76.161541,30.62804794,76.2709198,30.54404876,76.23351138
Fategharh,Baraunga Buland,105818,Y,30.61653333,76.27266833,,,30.613683,76.273358,30.6137,76.2735,30.61463878,76.27317544
Fategharh,Baraunga Buland,105820,N,30.62059667,76.27804333,,,30.372148,76.171015,30.62299156,76.28567505,30.53857874,76.24491113
Fategharh,Baraunga Buland,105821,Y,30.61886333,76.27735,,,30.373474,76.164884,30.62623978,76.28031158,30.5395257,76.24084853
Fategharh,Baraunga Buland,105825,Y,30.62979667,76.26950167,,,30.629732,76.262182,30.6296196,76.26210785,30.62971609,76.26459717
Fategharh,Baraunga Buland,105830,Y,30.62892,76.26972333,,,30.3746329,76.1631856,30.62905,76.27385,30.54420097,76.23558631
Fategharh,Baraunga Buland,105831,Y,30.61662167,76.27891,,,30.372615,76.164491,30.6239,76.2792,30.53771222,76.240867
Fategharh,Baraunga Buland,105833,N,30.6287,76.2692,,,30.380819,76.155592,30.63559914,76.26547241,30.54837271,76.23008814
Fategharh,Baraunga Buland,105837,Y,30.629,76.269,30.63026,76.26828,30.632338,76.271185,30.6323967,76.27119446,30.63099867,76.26991486
Fategharh,Baraunga Buland,105842,Y,30.62958,76.26862333,,,,,30.6313,76.2644,30.63044,76.26651167
Fategharh,Bud Gujran,112401,Y,30.64982333,76.25358833,,,30.390671,76.14338,30.65147018,76.24422455,30.56398817,76.21373096
Fategharh,Bud Gujran,112403,Y,30.65112833,76.25158,,,30.651678,76.251239,,,30.65140317,76.2514095
Fategharh,Bud Gujran,112404,Y,30.65118667,76.25142167,,,30.651679,76.252536,30.6516,76.2526,30.65148856,76.25218589
Fategharh,Bud Gujran,112405,Y,30.63060333,76.268365,30.78219667,76.015145,30.637316,76.244624,30.63719368,76.2447052,30.67182742,76.1932098
Fategharh,Bud Gujran,112408,Y,30.650226,76.253845,30.6516,76.2519,30.651458,76.258798,30.6518,76.2524,30.651271,76.25423575
Fategharh,Bud Gujran,112410,N,30.65015,76.252045,30.65039333,76.25221167,30.39,76.144044,30.65,76.2446,30.58513583,76.22322517
