District,Village,HH_ID,Burnt,Latitude (Baseline measurement),Longitude_Baseline_measurement,Latitude_Endline_measurement,Longitude_Endline_measurement,Latitude_CCE_measurement,Longitude_CCE_measurement,Lat_Median,Lon_Median
Fategharh,Baraunga Buland,105801,Y,30.63286167,76.27438,30.62891,76.27024,30.374419,76.164135,30.54539689,76.23625167
Fategharh,Baraunga Buland,105803,N,30.63003833,76.26807333,,,30.37406,76.161541,30.50204917,76.21480717
Fategharh,Baraunga Buland,105818,Y,30.61653333,76.27266833,,,30.613683,76.273358,30.61510817,76.27301317
Fategharh,Baraunga Buland,105820,N,30.62059667,76.27804333,,,30.372148,76.171015,30.49637234,76.22452917
Fategharh,Baraunga Buland,105821,Y,30.61886333,76.27735,,,30.373474,76.164884,30.49616867,76.221117
Fategharh,Baraunga Buland,105825,Y,30.62979667,76.26950167,,,30.629732,76.262182,30.62976434,76.26584184
Fategharh,Baraunga Buland,105830,Y,30.62892,76.26972333,,,30.3746329,76.1631856,30.50177645,76.21645447
Fategharh,Baraunga Buland,105831,Y,30.61662167,76.27891,,,30.372615,76.164491,30.49461834,76.2217005
Fategharh,Baraunga Buland,105833,N,30.6287,76.2692,,,30.380819,76.155592,30.5047595,76.212396
Fategharh,Baraunga Buland,105837,Y,30.629,76.269,30.63026,76.26828,30.632338,76.271185,30.63053267,76.26948833
Fategharh,Baraunga Buland,105842,Y,30.62958,76.26862333,,,,,30.62958,76.26862333
Fategharh,Bud Gujran,112401,Y,30.64982333,76.25358833,,,30.390671,76.14338,30.52024717,76.19848417
Fategharh,Bud Gujran,112403,Y,30.65112833,76.25158,,,30.651678,76.251239,30.65140317,76.2514095
Fategharh,Bud Gujran,112404,Y,30.65118667,76.25142167,,,30.651679,76.252536,30.65143284,76.25197884
Fategharh,Bud Gujran,112405,Y,30.63060333,76.268365,30.78219667,76.015145,30.637316,76.244624,30.683372,76.17604467
Fategharh,Bud Gujran,112408,Y,30.650226,76.253845,30.6516,76.2519,30.651458,76.258798,30.65109467,76.25484767
Fategharh,Bud Gujran,112410,N,30.65015,76.252045,30.65039333,76.25221167,30.39,76.144044,30.56351444,76.21610022
Fategharh,Bud Gujran,112414,Y,30.65772167,76.20200167,30.65015833,76.25199167,30.649672,76.250454,30.65251733,76.23481578
Fategharh,Bud Gujran,112418,N,30.64834,76.25382167,,,30.391823,76.142724,30.5200815,76.19827284
Fategharh,Bud Gujran,112419,Y,30.65039333,76.25188333,,,30.390782,76.144391,30.52058767,76.19813717
Fategharh,Bud Gujran,112425,N,30.65608,76.24264333,,,30.392045,76.143095,30.5240625,76.19286917
Fategharh,Bud Gujran,112426,Y,30.649,76.246,30.64953,76.25298,30.652059,76.251661,30.65019633,76.25021367
Fategharh,Chandiala,114304,Y,30.85861167,76.32178833,,,30.856749,76.320068,30.85768034,76.32092817
Fategharh,Chandiala,114306,Y,30.86198,76.32095,30.860445,76.320665,30.865383,76.318108,30.86260267,76.31990767
Fategharh,Chandiala,114308,Y,30.861135,76.321045,,,30.872046,76.317772,30.8665905,76.3194085
Fategharh,Chandiala,114310,Y,30.85483,76.32106167,,,30.859521,76.323335,30.8571755,76.32219834
Fategharh,Chandiala,114313,Y,30.86168667,76.30798833,,,30.861058,76.325995,30.86137234,76.31699167
